company,industry,address,plz,region_prio,phone,email,website,doors_in_use,brand,year,photo_url,source_url,maps_link,source_type
IN-TIME Transport GmbH,Logistik / Transportdienstleister (Logistik- und Verwaltungsgebäude mit 40.000 Palettenstellplätzen),"Ritscherstraße 19, 21244 Buchholz i.d. Nordheide",21244,Deutschland,+49 40 866 66 66,info@intime.info,https://www.intime.info,"Sämtliche Tore und Verladetechnik des Logistikneubaus: Industrie-Sektionaltore SPU F42 (Antrieb WA 400, teils V-Beschlag, Duratec-Verglasung), Ladebrücken/Verladetechnik, Brandschutz-Nachströmöffnungen",Hörmann,2019,,https://cdn.hoermann-cloud.de/fileadmin/_country/presse/pdf/PM_1922-FL_Anwenderreportage_In-Time_Logistikgebaeude.pdf,https://maps.google.com/?q=Ritscherstra%C3%9Fe%2019%2C%2021244%20Buchholz%20i.d.%20Nordheide&t=k,Markenreferenz Hörmann/Novoferm
Schlau Logistik GmbH (Unternehmensgruppe Brüder Schlau; Gruppe seit 2025 in Insolvenz),"Groß-/Einzelhandel Farben, Tapeten, Bodenbeläge – Logistikzentrum 14.000 m²","Rostocker Str. 5, 14641 Wustermark",14641,Deutschland,,,,"28 Industrie-Sektionaltore SPU F42 (Antrieb WA 300 S4), 28 Torabdichtungen DDF, 28 hydraulische Vorschub-Ladebrücken HTL 2, 7 Feuerschutz-Schiebetore, 4 Brandschutztüren",Hörmann,2018,,https://www.hoermann.de/fileadmin/_country/presse/pdf/PM%201819-FL_Hoermann_Anwenderreportage_Logistikhalle_Brueder_Schlau.pdf,https://maps.google.com/?q=Rostocker%20Str.%205%2C%2014641%20Wustermark&t=k,Markenreferenz Hörmann/Novoferm
Teamlog GmbH Spedition und Logistik,"Spedition / Kontraktlogistik (Kommissionier- und Lagerhalle 13.500 m², u.a. Ersatzteillogistik für SAF Holland)","Germanenstraße 30, 63741 Aschaffenburg",63741,Rhein-Main/Rhein-Neckar,+49 6021 1507-0,info@teamlog.de,https://teamlog.de,"9 Industrie-Sektionaltore SPU F42 mit Verladestationen (Überladebrücken), 8 angewinkelte Vorsatzschleusen LHP 2 in 160-Grad-Sonderausführung",Hörmann,2019,https://images.hoermann-cloud.de/website/de/presse/PM_1931/PM_1931-FL_Hoermann_Anwenderreportage_Teamlog_Bild_1.jpg,https://www.hoermann.de/presse/detail/mehr-platz-mit-160-grad-hoermann-lieferte-fuer-die-neue-kommissionier-und-lagerhalle-der-teamlog-gmbh-passende-tore-und-verladetechnik/,https://maps.google.com/?q=Germanenstra%C3%9Fe%2030%2C%2063741%20Aschaffenburg&t=k,Markenreferenz Hörmann/Novoferm
Bau- und Immobilienverwaltung Fäth (Fäth Besitz GmbH & Co. KG),"Projektentwickler / Bestandshalter von Logistikimmobilien (Eigentümer Logistikzentrum Erlensee, 27.000 m²)","Mörswiesenstraße 9, 63741 Aschaffenburg",63741,Rhein-Main/Rhein-Neckar,+49 6021 44990,kontakt@bivf.de,https://www.bivf.de,"Großteil der Tore und Verladetechnik im Logistikzentrum Erlensee: Industrie-Sektionaltore SPU F42 (manuell und mit V-Beschlag), hydraulische Vorschub-Ladebrücken HTL 2 mit 500 mm Vorschub",Hörmann,2018,https://images.hoermann-cloud.de/website/de/presse/PM_1926/PM_1926-FL_Anwenderreportage_Logistikzentrum_Erlensee_Bild_1.jpg,https://www.hoermann.de/presse/detail/fuer-jeden-das-passende-hoermann-lieferte-tore-und-verladetechnik-fuer-das-logistikzentrum-erlensee/,https://maps.google.com/?q=M%C3%B6rswiesenstra%C3%9Fe%209%2C%2063741%20Aschaffenburg&t=k,Markenreferenz Hörmann/Novoferm
M.S.G. Frucht GmbH,Obst- und Gemüseverarbeitung (Convenience-Produktion; Mieter im Logistikzentrum Erlensee; Firmensitz seit 2023 im Frischezentrum Frankfurt),"Zum Fliegerhorst 1304, 63526 Erlensee",63526,Rhein-Main/Rhein-Neckar,+49 69 405008-0,,https://www.goetterfrucht.de,Hörmann Sektionaltore SPU F42 und Ladebrücken HTL 2 im gekühlten Produktionsbereich (Raumtemperaturen 2–6 °C),Hörmann,2018,https://images.hoermann-cloud.de/website/de/presse/PM_1926/PM_1926-FL_Anwenderreportage_Logistikzentrum_Erlensee_Bild_1.jpg,https://www.hoermann.de/presse/detail/fuer-jeden-das-passende-hoermann-lieferte-tore-und-verladetechnik-fuer-das-logistikzentrum-erlensee/,https://maps.google.com/?q=Zum%20Fliegerhorst%201304%2C%2063526%20Erlensee&t=k,Markenreferenz Hörmann/Novoferm
"Raben Trans European Germany GmbH (Standort Erlensee, ehem. Fenthol & Sandtmann GmbH)",Spedition / Kontraktlogistik mit explosionsgeschütztem Gefahrstofflager (Mieter im Logistikzentrum Erlensee),"Marie-Curie-Straße 5, 63526 Erlensee",63526,Rhein-Main/Rhein-Neckar,+49 6183 807 0,sales.erlensee@raben-group.com,https://deutschland.raben-group.com,"Hörmann Sektionaltore SPU F42 und Ladebrücken HTL 2, Ausführung für explosionsgeschütztes Gefahrstofflager (installiert für Fenthol & Sandtmann, 2020 in Raben aufgegangen)",Hörmann,2018,https://images.hoermann-cloud.de/website/de/presse/PM_1926/PM_1926-FL_Anwenderreportage_Logistikzentrum_Erlensee_Bild_1.jpg,https://www.hoermann.de/presse/detail/fuer-jeden-das-passende-hoermann-lieferte-tore-und-verladetechnik-fuer-das-logistikzentrum-erlensee/,https://maps.google.com/?q=Marie-Curie-Stra%C3%9Fe%205%2C%2063526%20Erlensee&t=k,Markenreferenz Hörmann/Novoferm
FOUR PARX GmbH,"Projektentwickler für Logistikimmobilien (Projekte: GG RheinMain Groß-Gerau, 120.000 m²; Mach2 Hamburg-Wilhelmsburg, Mieter u.a. Airbus Satair, Bechtle, Picnic, Jysk)","Philipp-Reis-Straße 14, 63303 Dreieich-Sprendlingen",63303,Rhein-Main/Rhein-Neckar,+49 6103 80006-0,mail@four-parx.com,https://four-parx.com,"GG RheinMain (Groß-Gerau): 145 hydraulische Ladebrücken HTL 2, Sektionaltore SPU F42 an 145 Verladestellen plus 28 ebenerdige SPU F42, Anfahrpuffer DB15, 86 Multifunktionstüren D65, 16 T90-Feuerschutztüren H16, Feuerschutz-Schiebetore FST 90-1; Mach2 (Hamburg-Wilhelmsburg): 100 Sektionaltore SPU F42, Ladebrücken, 20 Feuerschutz-Schiebetore FST 90-1",Hörmann,2019 (GG RheinMain) / 2024 (Mach2),https://images.hoermann-cloud.de/website/de/presse/PM_1927/PM_1927-FL_Anwenderreportage_Logistikzentrum_Four_Parx_Bild_1.jpg,https://www.hoermann.de/presse/detail/flexibel-mal-vier-hoermann-lieferte-tore-tueren-und-verladetechnik-fuer-das-gewerbe-und-logistikzentrum-four-parx-gg-rheinmain/,https://maps.google.com/?q=Philipp-Reis-Stra%C3%9Fe%2014%2C%2063303%20Dreieich-Sprendlingen&t=k,Markenreferenz Hörmann/Novoferm
METRO LOGISTICS Germany GmbH (Metro-Logistikzentrum Marl),"Handelslogistik (größter Logistikstandort des Metro-Konzerns, 235.000 m², davon ca. 28.000 m² Kühlfläche)","Brassertstr. 212, 45768 Marl",45768,Deutschland,+49 211 6886-0,info@metro-logistics.de,https://www.metro-logistics.de,"407 Industrie-Sektionaltore (SPU F42 im Trockensortiment, SPU 67 Thermo im Kühlbereich) mit hydraulischen Vorschub-Ladebrücken HRT und Vorsatzschleusen LHP, 58 Feuerschutz-Schiebetore, 13 Schnelllauftore, 42 weitere Sektionaltore, ca. 250 Türen – größter Einzelauftrag der Hörmann-Geschichte",Hörmann,2017-2018,https://www.hoermann.de/portal/fileadmin/Global_Images/Portal46/Header/unternehmen_hoermann_beliefert-metro-logistikzentrum_verladestationen.jpg,https://www.hoermann.de/portal/portal-46-produktion/de/hoermann-hoermann-beliefert-metro-logistikzentrum/,https://maps.google.com/?q=Brassertstr.%20212%2C%2045768%20Marl&t=k,Markenreferenz Hörmann/Novoferm
EDEKA Handelsgesellschaft Minden-Hannover mbH (Zentrallager Wiefelstede),"Lebensmitteleinzelhandel – Zentrallager mit 4 Temperaturzonen, beliefert ca. 500 Märkte","Edekastraße 1, 26215 Wiefelstede",26215,Deutschland,+49 571 802-0,info@minden.edeka.de,https://verbund.edeka/minden-hannover/,"ca. 150 Industrie-Sektionaltore SPU 67 Thermo (Antrieb WA 300 S4) an ca. 150 Verladestellen, Thermo-Vorsatzschleusen LHP 2 Thermo am Tiefkühlbereich, aufblasbare Torabdichtungen DAS-3, 45 hydraulische Vorschub-Ladebrücken HTL, 80 mechanische Klappbrücken, 5 Feuerschutz-Schiebetore",Hörmann,ca. 2016,https://images.hoermann-cloud.de/website/de/presse/PM_1910/PM_1910-FL_Edeka_Wiefelstede_Anwenderreportage_Bild_1.jpg,https://www.hoermann.de/presse/detail/zentral-und-isoliert-tore-tueren-und-verladetechnik-von-hoermann-sorgen-im-edeka-zentrallager-wiefelstede-fuer-energieeffiziente-und-sichere-ablaeufe/,https://maps.google.com/?q=Edekastra%C3%9Fe%201%2C%2026215%20Wiefelstede&t=k,Markenreferenz Hörmann/Novoferm
REINHOLD KELLER GmbH (Reinhold Keller Group),Ladenbau / Inneneinrichtungen für Systemgastronomie und Hotels (Logistikhalle 6.700 m²),"Gutenbergstraße 4, 63924 Kleinheubach",63924,Rhein-Main/Rhein-Neckar,+49 9371 9790-0,info@reinhold-keller.de,https://reinhold-keller.com,"3 Spiraltore HS 7030 PU 42, 14 Industrie-Sektionaltore SPU F42 mit Vorsatzschleusen LHP 2 und Planen-Torabdichtungen DSL, 14 hydraulische Ladebrücken (3 m), 10 mechanische Rampenladebrücken KBS",Hörmann,2019,https://images.hoermann-cloud.de/website/de/presse/PM_1935/PM_1935-FL_Anwenderreportage_Logistikzentrum_Keller_Bild_1.jpg,https://www.hoermann.de/presse/detail/offen-zu-allen-seiten-hoermann-lieferte-tore-tueren-und-verladetechnik-fuer-die-neue-logistikhalle-der-reinhold-keller-group/,https://maps.google.com/?q=Gutenbergstra%C3%9Fe%204%2C%2063924%20Kleinheubach&t=k,Markenreferenz Hörmann/Novoferm
